aightz;oke dan
salaam;groeten
samsa;wat is er?
sanchi;kuzzz
sang;zooo
sani;een ding
sanka;bil
sappig;lekker
sang;ongelooflijk
scaffa;wierie
scandi;erg
scandoules;schandalig
scava;stoned
scheer;empty, leeg
scherp;intelligent
schotten;afzeiken
schuren;schudden
schuren;zetten
scooby;scooter
scouto;politie
scrap;dood
scrilla;geld
scoebaas;schoenen
shebbe;domie
shock;stoot
shoebas;schoenen
shoppa;coffeshop
sickie;je bent gek
siki;tof
sisa;zus
six feet;dood
Sjakie;sukkel
sjikiman;stom
skaffa;stoned
skatten;ne*ken
skaveren;eten
skeer;blut
skiffy;Scheveningen
skinny;dun, mager
skippen;spijbelen
skitta;schijt aan
skotoe;politie
skraal;oneerlijk
skraffa;tof
slanging;dealen
sma;meisje
shaker;verwarrend
shibber;waardeloos
sjing;schande
skaatje;schatje
sketten;ballen
Skevie;Scheveningen
skitmo;schijt
skitta;schijt aan
skoro;school
skrieki;schrikken
smatje;meisje
smatje;schatje
smocho;je bent erg
smooth;vet/cool
snagga;sigaret
snitch;verrader
soema;wie
sosaa;cacaïne
spacen;dom doen
spang;lekker chiq
spiekerie;Spijkenisse
spieren;erectie
spiffy;mooi, dope
splitten;wegwezen
spo po;spoorweg pol
spuiter;gangmaker
Sranang;Suriname
stamang;kabel
stamma;vriend
standaard;vanzelfsprekend
stanko;vriend
stiffa;stijve
stilo;mode
stoeroe;stoel
strak;tof, kicken
strakke poster;brutaal gezicht
strano;raar,vreemd
stroggel;ruzie
stronken;stoned, dronken
stuka;studeren
styl;cool
styling;stoer, leuk
suchaaaaaaaa;sukkeltje
sunchi;kusje
sup;hoe gaat het?
swa;vriend
swa;zwager
swa;gozer
sweetie;lekker
tabacca;sigaretten
taker;skinny
taker;lelijk
takkerheid;dom, stom
tan plan;blijven zitten
ta pie mov;hou je mong
tang;string
tanga;mooi meisje
tanga;meisje
tapanahoni;schotten, afsnauwen
tapi movo;mond dicht
tapimofo;hoe gaat het?
tatta;Nederlander
tchumai;kanppe chic
telly;mobieltje
tev;cool
texel;mazzel
tha dockz;Rotterdam
tha bomb;de beste
thuaka;een groet
thug;ganster
thx;bedankt
tikoe;Tilburg
timer;even wachten
tippo;autoradio
tjaaring;streken hebben
tjading;leuk
tjaiba;wiet
tjala;weggaan
tjallen;jatten
tjappa;eten
tjawa;25 gulden
tjing;kleine sma
tjollie;jongen
tjumai;knappe chick
todo-ai;iemand met opvallend grote ogen
toektoek;joint
toetoemoel;stil
tof;mooi, moeilijk
tokkelen;iemand versieren
toli;penis
topen;beuken
torie;geval, verhaal
tralalalala;vrolijk
tranga;vet,cool, geweldig
tranga;tof
trangaoema;sterke vrouw
tripple X;Amsterdam
trips;trippen
true that;dat is juist
twin bradaz;2 ling broer
uang;geld
undrogron;onderwerld
upper K;Bbovenkarspel
verhaal;vergeet het
vingalinga;vingeren
vlieg;irritant
vittie;vechten
vriendje;klootzak
vroes;raar
wachti;wacht
waga;auto
wagie;auto
waka;gek
wakka mang;player/zwerver
walla;ik zweer
wandel;het gaat goed
wannabee;neppe kill
wat is de leeftijd?;hoe laat is het?
weerie;raar
wette;begrijp je?
whazzzzzzzzzzza;hoe is het?
wicked;waus
wigger;blanke neger
wierrie;haar (in het surinaams) of wiet
wittie;heroine
wix;gaaf
wo box;tot ziens
word up;hoe is het?
wouten;politie
wussel;haarelastiek
ye hossel;moeite doen
ya bitch;fuck ya girl
ye kot vonk;je bent gevaarlijk bezig
yo man;oke dan
yo tjappie;he maatje
ziekie;tranga
zoutig;lullig
zuur;echt nep
